0.00 5.00 0 25.00
0.05 5.00 0.01 25.00
0.10 5.00 0.02 25.01
0.15 5.00 0.03 25.02
0.20 4.99 0.04 25.02
0.25 4.99 0.05 25.03
0.30 4.99 0.06 25.03
0.35 4.98 0.07 25.04
0.40 4.97 0.08 25.04
0.45 4.96 0.09 25.05
0.50 4.96 0.10 25.05
0.55 4.95 0.11 25.06
0.60 4.93 0.12 25.06
0.65 4.92 0.13 25.07
0.70 4.91 0.14 25.07
0.75 4.90 0.15 25.08
0.79 4.88 0.16 25.08
0.84 4.86 0.17 25.09
0.89 4.85 0.18 25.09
0.94 4.83 0.19 25.10
0.99 4.81 0.20 25.10
1.04 4.79 0.21 25.11
1.08 4.77 0.22 25.11
1.13 4.75 0.23 25.12
1.18 4.73 0.24 25.12
1.23 4.70 0.25 25.13
1.27 4.68 0.26 25.13
1.32 4.65 0.27 25.14
1.37 4.63 0.28 25.14
1.41 4.60 0.29 25.15
1.46 4.57 0.30 25.15
1.51 4.54 0.31 25.16
1.55 4.51 0.32 25.16
1.60 4.48 0.33 25.17
1.64 4.45 0.34 25.17
1.69 4.42 0.35 25.18
1.73 4.38 0.36 25.18
1.77 4.35 0.37 25.19
1.82 4.31 0.38 25.19
1.86 4.28 0.39 25.20
1.90 4.24 0.40 25.20
1.94 4.20 0.41 25.21
1.99 4.16 0.42 25.21
2.03 4.12 0.43 25.22
2.07 4.08 0.44 25.22
2.11 4.04 0.45 25.23
2.15 4.00 0.46 25.23
2.19 3.95 0.47 25.24
2.23 3.91 0.48 25.24
2.27 3.87 0.49 25.25
2.31 3.82 0.50 25.25
2.35 3.77 0.51 25.26
2.38 3.73 0.52 25.26
2.42 3.68 0.53 25.27
2.46 3.63 0.54 25.27
2.49 3.58 0.55 25.28
2.53 3.53 0.56 25.28
2.57 3.48 0.57 25.29
2.60 3.43 0.58 25.29
2.63 3.38 0.59 25.30
2.67 3.33 0.60 25.30
2.70 3.27 0.61 25.31
2.73 3.22 0.62 25.31
2.77 3.16 0.63 25.32
2.80 3.11 0.64 25.32
2.83 3.05 0.65 25.33
2.86 3.00 0.66 25.33
2.89 2.94 0.67 25.34
2.92 2.88 0.68 25.34
2.95 2.82 0.69 25.35
2.98 2.76 0.70 25.35
3.00 2.70 0.71 25.36
3.03 2.64 0.72 25.36
3.06 2.58 0.73 25.37
3.08 2.52 0.74 25.37
3.11 2.46 0.75 25.38
3.13 2.40 0.76 25.38
3.16 2.34 0.77 25.39
3.18 2.27 0.78 25.39
3.20 2.21 0.79 25.40
3.23 2.14 0.80 25.40
3.25 2.08 0.81 25.41
3.27 2.02 0.82 25.41
3.29 1.95 0.83 25.42
3.31 1.88 0.84 25.42
3.33 1.82 0.85 25.43
3.34 1.75 0.86 25.43
3.36 1.68 0.87 25.44
3.38 1.62 0.88 25.44
3.39 1.55 0.89 25.45
3.41 1.48 0.90 25.45
3.42 1.41 0.91 25.46
3.44 1.35 0.92 25.46
3.45 1.28 0.93 25.47
3.47 1.21 0.94 25.47
3.48 1.14 0.95 25.48
3.49 1.07 0.96 25.48
3.50 1.00 0.97 25.49
3.51 0.93 0.98 25.49
3.52 0.86 0.99 25.50
3.53 0.79 1.00 25.50
3.54 0.72 1.01 25.51
3.54 0.65 1.02 25.52
3.55 0.58 1.03 25.52
3.55 0.50 1.04 25.53
3.56 0.43 1.05 25.53
3.56 0.36 1.06 25.54
3.57 0.29 1.07 25.54
3.57 0.22 1.08 25.55
3.57 0.15 1.09 25.55
3.57 0.08 1.10 25.56
3.57 0.01 1.11 25.56
3.58 -0.07 1.12 25.57
3.57 -0.14 1.13 25.57
3.57 -0.21 1.14 25.58
3.57 -0.28 1.15 25.58
3.57 -0.35 1.16 25.59
3.56 -0.42 1.17 25.59
3.56 -0.49 1.18 25.60
3.56 -0.57 1.19 25.60
3.55 -0.64 1.20 25.61
3.54 -0.71 1.21 25.61
3.54 -0.78 1.22 25.62
3.53 -0.85 1.23 25.62
3.52 -0.92 1.24 25.63
3.51 -0.99 1.25 25.63
3.50 -1.06 1.26 25.64
3.49 -1.13 1.27 25.64
3.48 -1.20 1.28 25.65
3.47 -1.27 1.29 25.65
3.45 -1.34 1.30 25.66
3.44 -1.41 1.31 25.66
3.43 -1.48 1.32 25.67
3.41 -1.55 1.33 25.67
3.40 -1.61 1.34 25.68
3.38 -1.68 1.35 25.68
3.36 -1.75 1.36 25.69
3.35 -1.82 1.37 25.69
3.33 -1.88 1.38 25.70
3.31 -1.95 1.39 25.70
