0.0000000000 	 1.0000000000 	 0.0000000000 	 4.5000000000
0.0100000000 	 1.0300348479 	 -0.0000605590 	 4.5214672509
0.0200000000 	 1.0601177099 	 -0.0001338285 	 4.5438593330
0.0300000000 	 1.0902241645 	 -0.0002212870 	 4.5671687202
0.0400000000 	 1.1203274904 	 -0.0003244428 	 4.5913838054
0.0500000000 	 1.1503986235 	 -0.0004448265 	 4.6164884875
0.0600000000 	 1.1804061271 	 -0.0005839826 	 4.6424617532
0.0700000000 	 1.2103161727 	 -0.0007434588 	 4.6692772557
0.0800000000 	 1.2400925360 	 -0.0009247952 	 4.6969028966
0.0900000000 	 1.2696966092 	 -0.0011295113 	 4.7253004165
0.1000000000 	 1.2990874294 	 -0.0013590924 	 4.7544250009
0.1100000000 	 1.3282217279 	 -0.0016149740 	 4.7842249088
0.1200000000 	 1.3570539983 	 -0.0018985256 	 4.8146411325
0.1300000000 	 1.3855365884 	 -0.0022110332 	 4.8456070976
0.1400000000 	 1.4136198142 	 -0.0025536807 	 4.8770484121
0.1500000000 	 1.4412520989 	 -0.0029275303 	 4.9088826754
0.1600000000 	 1.4683801374 	 -0.0033335033 	 4.9410193576
0.1700000000 	 1.4949490862 	 -0.0037723588 	 4.9733597592
0.1800000000 	 1.5209027798 	 -0.0042446740 	 5.0057970622
0.1900000000 	 1.5461839734 	 -0.0047508236 	 5.0382164818
0.2000000000 	 1.5707346101 	 -0.0052909604 	 5.0704955295
0.2100000000 	 1.5944961144 	 -0.0058649965 	 5.1025043949
0.2200000000 	 1.6174097068 	 -0.0064725860 	 5.1341064527
0.2300000000 	 1.6394167412 	 -0.0071131096 	 5.1651589014
0.2400000000 	 1.6604590600 	 -0.0077856611 	 5.1955135354
0.2500000000 	 1.6804793656 	 -0.0084890369 	 5.2250176515
0.2600000000 	 1.6994216038 	 -0.0092217282 	 5.2535150859
0.2700000000 	 1.7172313559 	 -0.0099819170 	 5.2808473785
0.2800000000 	 1.7338562348 	 -0.0107674753 	 5.3068550526
0.2900000000 	 1.7492462804 	 -0.0115759692 	 5.3313789989
0.3000000000 	 1.7633543498 	 -0.0124046663 	 5.3542619477
0.3100000000 	 1.7761364972 	 -0.0132505483 	 5.3753500091
